CLOSE;VAR_12M
18,26;12,06
40,15;15,86
34,4;6,66
15,4;26,57
15,08;21,54
2,22;47,03
21,88;13,07
25;53,12
66,5;10,13
28,2;68,83
1,45;30,95
19,43;15,87
8,99;25,47
7,43;18,08
1,71;47,87
13,88;14,39
8,78;4,98
24,75;37,94
12,46;57
38,93;47,67
21,8;23,35
16,3;2,84
8;24,7
34,04;1,11
54,03;88,07
10,68;49,63
17,85;8,11
104,55;5,41
7,52;61,77
19,75;18,71
3,63;5,28
14,38;0,91
51,5;7,57
22,32;2,9
19,29;9,17
27,6;44,56
13,65;0,88
19,06;12,29
13,48;20,57
9,85;27,91
28,24;17,69
17,58;3,72
46,59;5,89
38,51;14,54
34,58;5,6
7,09;13,43
2,56;79,19
17,49;4,75
57;7,88
12,14;0
35,77;5,45
33,6;1,43
26,83;13,97
9,13;12,5
37,18;22,34
9,3;26,06
8,63;19,68
29,47;10,95
16,1;12,83
15,8;4,76
19,24;7,18
11,73;15,78
21,06;21,36
10,28;7,74
1,56;30,67
7,26;3,18
16,82;9,5
4,49;34,64
17,88;6,21
23,94;4,06
13,94;14,36
