DATE;GBPUSD;EURAUD;EURCAD;EURGBP;EURUSD;GBPAUD;GBPCHF
31/12/2012 00:00;1.62465;1.26874;1.3089;0.81153;1.31938;1.56254;1.48665
01/01/2013 00:00;1.62377;1.2687;1.30963;0.81289;1.31954;1.56231;1.48779
02/01/2013 00:00;1.62546;1.2552;1.29859;0.81108;1.31857;1.54722;1.49181
03/01/2013 00:00;1.6106;1.24655;1.28888;0.81001;1.30484;1.53873;1.4925
04/01/2013 00:00;1.60678;1.24679;1.29019;0.8131;1.30678;1.53314;1.48542
07/01/2013 00:00;1.61143;1.24868;1.29304;0.81382;1.31157;1.53376;1.48443
08/01/2013 00:00;1.60549;1.2452;1.29055;0.81468;1.30809;1.52831;1.4835
09/01/2013 00:00;1.60214;1.24233;1.29016;0.8152;1.30639;1.52374;1.48265
10/01/2013 00:00;1.61674;1.2522;1.3048;0.82067;1.32716;1.52537;1.47788
11/01/2013 00:00;1.61323;1.2662;1.31423;0.82698;1.33424;1.53094;1.47339
14/01/2013 00:00;1.60743;1.26603;1.31631;0.83218;1.33789;1.52091;1.48177
15/01/2013 00:00;1.60633;1.25928;1.30943;0.82811;1.3305;1.52042;1.49675
16/01/2013 00:00;1.60048;1.2568;1.31008;0.8301;1.32888;1.51373;1.48997
17/01/2013 00:00;1.5992;1.26822;1.31845;0.83625;1.33736;1.5164;1.49118
18/01/2013 00:00;1.58638;1.26702;1.32076;0.83938;1.3318;1.50911;1.48178
21/01/2013 00:00;1.58272;1.26575;1.32167;0.8408;1.33123;1.50471;1.4759
22/01/2013 00:00;1.58375;1.26065;1.32145;0.84095;1.33215;1.49877;1.47167
23/01/2013 00:00;1.58449;1.26162;1.33059;0.84043;1.33174;1.50106;1.47272
24/01/2013 00:00;1.57891;1.27968;1.34097;0.84711;1.33766;1.51056;1.46636
25/01/2013 00:00;1.57998;1.29134;1.35361;0.85184;1.34587;1.51496;1.46274
28/01/2013 00:00;1.56941;1.29149;1.35371;0.8572;1.34554;1.50647;1.4534
29/01/2013 00:00;1.57621;1.28785;1.35025;0.85587;1.34913;1.50471;1.45215
30/01/2013 00:00;1.57987;1.30213;1.35822;0.85859;1.35667;1.51642;1.43882
31/01/2013 00:00;1.58557;1.30232;1.35391;0.85612;1.35776;1.52097;1.44281
01/02/2013 00:00;1.5691;1.31039;1.35904;0.86897;1.36391;1.50752;1.42481
04/02/2013 00:00;1.57604;1.29443;1.34973;0.85734;1.35129;1.50972;1.43145
05/02/2013 00:00;1.56581;1.30721;1.35214;0.86732;1.35831;1.50696;1.42214
06/02/2013 00:00;1.56587;1.30999;1.34613;0.86334;1.35213;1.51714;1.42503
07/02/2013 00:00;1.57158;1.30267;1.33678;0.85241;1.33964;1.52817;1.44302
08/02/2013 00:00;1.58005;1.29474;1.33968;0.8456;1.33662;1.53096;1.44864
11/02/2013 00:00;1.56575;1.30698;1.34692;0.85596;1.3406;1.52657;1.44077
12/02/2013 00:00;1.56616;1.30564;1.3482;0.85876;1.34534;1.51985;1.43626
13/02/2013 00:00;1.5541;1.29688;1.34746;0.86543;1.34508;1.49848;1.42487
14/02/2013 00:00;1.54942;1.28975;1.33752;0.86237;1.33629;1.49551;1.42694
15/02/2013 00:00;1.55162;1.29626;1.34432;0.86083;1.33618;1.50532;1.43003
18/02/2013 00:00;1.54648;1.29522;1.34917;0.86313;1.33509;1.50017;1.42786
19/02/2013 00:00;1.54247;1.2927;1.354;0.86796;1.3388;1.48905;1.42296
20/02/2013 00:00;1.5233;1.29488;1.35006;0.87167;1.328;1.48521;1.41195
21/02/2013 00:00;1.52536;1.28725;1.34322;0.86454;1.31887;1.48882;1.41971
22/02/2013 00:00;1.51605;1.27782;1.34679;0.86984;1.31902;1.46876;1.40935
25/02/2013 00:00;1.51619;1.27324;1.33996;0.86138;1.30617;1.47781;1.41294
26/02/2013 00:00;1.51229;1.2767;1.34011;0.86363;1.30606;1.47834;1.40925
27/02/2013 00:00;1.51569;1.28387;1.3439;0.86653;1.31375;1.48099;1.40903
28/02/2013 00:00;1.51629;1.27796;1.3456;0.86103;1.30558;1.48418;1.42025
01/03/2013 00:00;1.50358;1.27587;1.33596;0.86565;1.30178;1.4734;1.41743
04/03/2013 00:00;1.51142;1.27743;1.33798;0.8617;1.30261;1.48226;1.42201
05/03/2013 00:00;1.51253;1.27217;1.34001;0.8627;1.30512;1.47442;1.4232
06/03/2013 00:00;1.50171;1.26701;1.33803;0.86334;1.29665;1.46731;1.42458
07/03/2013 00:00;1.50127;1.27636;1.34917;0.87271;1.31064;1.46202;1.41502
08/03/2013 00:00;1.49222;1.27009;1.33716;0.87093;1.30042;1.45697;1.4188
10/03/2013 23:00;1.49135;1.26871;1.33823;0.87456;1.30456;1.45041;1.4129
11/03/2013 23:00;1.49013;1.26237;1.3368;0.87442;1.30335;1.44331;1.41127
12/03/2013 23:00;1.49215;1.25848;1.33166;0.86853;1.29605;1.44891;1.42102
13/03/2013 23:00;1.50818;1.2522;1.32926;0.86211;1.30042;1.45226;1.42831
14/03/2013 23:00;1.51129;1.25598;1.33273;0.86492;1.30743;1.45161;1.41832
17/03/2013 23:00;1.5105;1.24531;1.324;0.85765;1.29555;1.45191;1.42892
18/03/2013 23:00;1.50982;1.24207;1.32276;0.85312;1.28806;1.45587;1.42937
19/03/2013 23:00;1.50969;1.24603;1.327;0.85651;1.29323;1.45427;1.42694
20/03/2013 23:00;1.51702;1.23532;1.32206;0.84995;1.28989;1.45303;1.43565
21/03/2013 23:00;1.52283;1.24323;1.32855;0.85246;1.29881;1.45787;1.43207
24/03/2013 23:00;1.51719;1.22797;1.31263;0.8468;1.28524;1.44963;1.43924
25/03/2013 23:00;1.51587;1.22638;1.30669;0.84834;1.28605;1.44558;1.43711
26/03/2013 23:00;1.51298;1.22344;1.29847;0.84449;1.27802;1.44828;1.44319
27/03/2013 23:00;1.51911;1.23082;1.30226;0.84364;1.28167;1.45887;1.44276
28/03/2013 23:00;1.51958;1.22953;1.30393;0.84269;1.28184;1.45891;1.44392
31/03/2013 23:00;1.52308;1.23255;1.30632;0.84354;1.28481;1.46109;1.44163
01/04/2013 23:00;1.51027;1.22663;1.30068;0.84862;1.28187;1.44517;1.43287
02/04/2013 23:00;1.5129;1.22807;1.30339;0.84913;1.28482;1.44601;1.42973
03/04/2013 23:00;1.52313;1.23944;1.30997;0.84902;1.2936;1.4595;1.4315
04/04/2013 23:00;1.53347;1.25078;1.32227;0.84725;1.29943;1.47663;1.43287
07/04/2013 23:00;1.52556;1.24922;1.32257;0.85267;1.30082;1.46502;1.42597
08/04/2013 23:00;1.53215;1.24709;1.32953;0.85377;1.30822;1.46062;1.42856
09/04/2013 23:00;1.53302;1.23962;1.3255;0.85244;1.30699;1.45397;1.42966
10/04/2013 23:00;1.53848;1.24231;1.32384;0.85141;1.31008;1.45882;1.43205
11/04/2013 23:00;1.53421;1.24737;1.32841;0.85428;1.31113;1.45995;1.42251
14/04/2013 23:00;1.52825;1.26394;1.33653;0.85288;1.30333;1.48176;1.42296
15/04/2013 23:00;1.53626;1.26813;1.34542;0.8576;1.3177;1.47832;1.41702
16/04/2013 23:00;1.52385;1.26551;1.33762;0.8549;1.30304;1.47971;1.42154
17/04/2013 23:00;1.52773;1.26661;1.3392;0.85401;1.30497;1.48313;1.42475
18/04/2013 23:00;1.52288;1.26976;1.3396;0.85668;1.3051;1.48166;1.42176
