DATE;EUR_USD;GBP_USD
31/12/2012 00:00;1.31938;1.62465
01/01/2013 00:00;1.31954;1.62377
02/01/2013 00:00;1.31857;1.62546
03/01/2013 00:00;1.30484;1.6106
04/01/2013 00:00;1.30678;1.60678
07/01/2013 00:00;1.31157;1.61143
08/01/2013 00:00;1.30809;1.60549
09/01/2013 00:00;1.30639;1.60214
10/01/2013 00:00;1.32716;1.61674
11/01/2013 00:00;1.33424;1.61323
14/01/2013 00:00;1.33789;1.60743
15/01/2013 00:00;1.3305;1.60633
16/01/2013 00:00;1.32888;1.60048
17/01/2013 00:00;1.33736;1.5992
18/01/2013 00:00;1.3318;1.58638
21/01/2013 00:00;1.33123;1.58272
22/01/2013 00:00;1.33215;1.58375
23/01/2013 00:00;1.33174;1.58449
24/01/2013 00:00;1.33766;1.57891
25/01/2013 00:00;1.34587;1.57998
28/01/2013 00:00;1.34554;1.56941
29/01/2013 00:00;1.34913;1.57621
30/01/2013 00:00;1.35667;1.57987
31/01/2013 00:00;1.35776;1.58557
01/02/2013 00:00;1.36391;1.5691
04/02/2013 00:00;1.35129;1.57604
05/02/2013 00:00;1.35831;1.56581
06/02/2013 00:00;1.35213;1.56587
07/02/2013 00:00;1.33964;1.57158
08/02/2013 00:00;1.33662;1.58005
11/02/2013 00:00;1.3406;1.56575
12/02/2013 00:00;1.34534;1.56616
13/02/2013 00:00;1.34508;1.5541
14/02/2013 00:00;1.33629;1.54942
15/02/2013 00:00;1.33618;1.55162
18/02/2013 00:00;1.33509;1.54648
19/02/2013 00:00;1.3388;1.54247
20/02/2013 00:00;1.328;1.5233
21/02/2013 00:00;1.31887;1.52536
22/02/2013 00:00;1.31902;1.51605
25/02/2013 00:00;1.30617;1.51619
26/02/2013 00:00;1.30606;1.51229
27/02/2013 00:00;1.31375;1.51569
28/02/2013 00:00;1.30558;1.51629
01/03/2013 00:00;1.30178;1.50358
04/03/2013 00:00;1.30261;1.51142
05/03/2013 00:00;1.30512;1.51253
06/03/2013 00:00;1.29665;1.50171
07/03/2013 00:00;1.31064;1.50127
08/03/2013 00:00;1.30042;1.49222
10/03/2013 23:00;1.30456;1.49135
11/03/2013 23:00;1.30335;1.49013
12/03/2013 23:00;1.29605;1.49215
13/03/2013 23:00;1.30042;1.50818
14/03/2013 23:00;1.30743;1.51129
17/03/2013 23:00;1.29555;1.5105
18/03/2013 23:00;1.28806;1.50982
19/03/2013 23:00;1.29323;1.50969
20/03/2013 23:00;1.28989;1.51702
21/03/2013 23:00;1.29881;1.52283
24/03/2013 23:00;1.28524;1.51719
25/03/2013 23:00;1.28605;1.51587
26/03/2013 23:00;1.27802;1.51298
27/03/2013 23:00;1.28167;1.51911
28/03/2013 23:00;1.28184;1.51958
31/03/2013 23:00;1.28481;1.52308
01/04/2013 23:00;1.28187;1.51027
02/04/2013 23:00;1.28482;1.5129
03/04/2013 23:00;1.2936;1.52313
04/04/2013 23:00;1.29943;1.53347
07/04/2013 23:00;1.30082;1.52556
08/04/2013 23:00;1.30822;1.53215
09/04/2013 23:00;1.30699;1.53302
10/04/2013 23:00;1.31008;1.53848
11/04/2013 23:00;1.31113;1.53421
14/04/2013 23:00;1.30333;1.52825
15/04/2013 23:00;1.3177;1.53626
16/04/2013 23:00;1.30304;1.52385
17/04/2013 23:00;1.30497;1.52773
